"","id","X2023.01.22","latitude","longtitude"
"1","S08","0","1.3701","103.8271"
"2","S100","0","1.4172","103.74855"
"3","S104","0","1.44387","103.78538"
"4","S107","0.4","1.3135","103.9625"
"5","S108","0","1.2799","103.8703"
"6","S111","0.2","1.31055","103.8365"
"7","S112","0.2","1.43854","103.70131"
"8","S113","0","1.30648","103.9104"
"9","S114","0.2","1.38","103.73"
"10","S115","0","1.29377","103.61843"
"11","S116","0","1.281","103.754"
"12","S118","NULL","1.2994","103.8461"
"13","S119","0","1.30105","103.8666"
"14","S120","0","1.30874","103.818"
"15","S121","0.2","1.37288","103.72244"
"16","S123","0","1.3214","103.8577"
"17","S201","0","1.32311","103.76714"
"18","S203","0.201","1.29164","103.7702"
"19","S204","0","1.40081","103.88217"
"20","S205","2.244","1.38829","103.9116"
"21","S207","0.603","1.32485","103.95836"
"22","S208","0","1.3136","104.00317"
"23","S209","0","1.42111","103.84472"
"24","S210","0","1.44003","103.76904"
"25","S211","0","1.42918","103.75711"
"26","S212","1","1.31835","103.93574"
"27","S213","0","1.32427","103.8097"
"28","S214","0","1.29911","103.88289"
"29","S215","0","1.32785","103.88899"
"30","S216","0","1.36019","103.85335"
"31","S217","0","1.35041","103.85526"
"32","S218","0.204","1.36491","103.75065"
"33","S219","0","1.37999","103.87643"
"34","S220","0.609","1.38666","103.89797"
"35","S221","0","1.35691","103.89088"
"36","S222","0","1.28987","103.82364"
"37","S223","0.203","1.29984","103.80264"
"38","S224","0","1.34392","103.98409"
"39","S226","0.2","1.27472","103.80389"
"40","S227","0","1.43944","103.80389"
"41","S228","1.188","1.34703","103.70073"
"42","S229","2.436","1.35167","103.72195"
"43","S230","0","1.30167","103.76444"
"44","S35","0.8","1.3329","103.7556"
"45","S40","0.2","1.4044","103.78962"
"46","S43","0","1.3399","103.8878"
"47","S44","0","1.34583","103.68166"
"48","S50","0.2","1.3337","103.7768"
"49","S60","0","1.25","103.8279"
"50","S61","0","1.323","103.9217"
"51","S64","0.2","1.3824","103.7603"
"52","S66","0","1.4387","103.7363"
"53","S69","0","1.37","103.805"
"54","S71","0","1.2923","103.7815"
"55","S77","0.2","1.2937","103.8125"
"56","S78","0","1.30703","103.89067"
"57","S79","0.2","1.3004","103.8372"
"58","S81","1.2","1.4029","103.9092"
"59","S84","0.6","1.3437","103.9444"
"60","S88","0","1.3427","103.8482"
"61","S89","0","1.31985","103.66162"
"62","S90","0.2","1.3191","103.8191"
"63","S900","0","1.41284","103.86922"
"64","S94","1.8","1.3662","103.9528"
